Plot	SubPlot	TreeFieldNum	Genus	Species	SpeciesLong	Bark	Dawkins	DBH	SLA	LDMC	LT	LA	CC
6	1	154	Eschweilera	decolorans	E decolorans	NA	2C	30.08028424436825	89.77499999999999	0.4536	247.6	72.104	82.8716
6	1	167	Eschweilera	decolorans	E decolorans	NA	2B	13.687325105903012	64.3628	0.4404	348.4	124.22	91.1212
6	1	169	Eschweilera	decolorans	E decolorans	NA	2C	29.761974358184457	66.46340000000001	0.498	291.6	63.678	92.0298
6	1	192	Symphonia	sp.1	S sp.1	S	3A	19.41690305721125	90.5736	0.42500000000000004	185.4	17.148600000000002	74.3614
6	1	296	Eschweilera	decolorans	E decolorans	NA	4A	40.186623130703616	111.3174	0.4326	223.6	39.428	78.999
6	1	311	Eschweilera	decolorans	E decolorans	NA	4A	41.69859509007662	69.9902	0.4568	299.8	81.582	83.75099999999999
6	1	330	Eschweilera	decolorans	E decolorans	NA	3A	24.509861236151906	84.385	0.424	283.2	75.006	61.4278
6	1	331	Eschweilera	decolorans	E decolorans	NA	3A	17.029578910832818	104.8148	0.463	218.2	54.572	73.7768
6	1	397	Eschweilera	decolorans	E decolorans	NA	2A	16.870423967740923	105.0364	0.38380000000000003	222.8	56.088	60.1828
6	1	427	Eschweilera	decolorans	E decolorans	NA	4B	31.671833675287203	89.1002	0.3152	243.4	37.146	75.608
6	1	430	Eschweilera	decolorans	E decolorans	NA	3B	27.69296009798982	102.4576	0.4446	219.4	50.864000000000004	78.678
6	1	446	Symphonia	sp.1	S sp.1	S	5A	30.39859413055204	59.5948	0.4346	270.2	9.8192	110.2346
6	1	487	Eschweilera	decolorans	E decolorans	NA	3A	19.73521294339504	111.2588	0.449	208.6	59.262	86.7
6	1	519	Eschweilera	decolorans	E decolorans	NA	2B	24.6690161792438	106.1192	0.4566	212	80.252	80.4282
6	1	567	Eschweilera	decolorans	E decolorans	NA	2A	27.852115041081714	101.9824	0.4494	227.8	41.398	72.4638
6	1	603	Eschweilera	decolorans	E decolorans	NA	2A	21.645072260497788	110.5216	0.436	221.8	83.554	83.5006
6	1	641	Eschweilera	sagotiana	E sagotiana	NA	3C	31.512678732195308	90.694	0.4742	234	48.194	78.8546
6	1	785	Eschweilera	decolorans	E decolorans	NA	4A	33.263383106206156	91.4226	0.4704	249	65.044	72.9414
6	1	791	Eschweilera	decolorans	E decolorans	NA	2C	15.756339366097654	88.86280000000001	0.4294	269.4	52.238	74.529
6	1	798	Eschweilera	sagotiana	E sagotiana	NA	4B	37.56056656968734	83.5382	0.3932	303.6	94.28	68.0808
6	1	845	Eschweilera	sagotiana	E sagotiana	NA	5A	45.83662361046591	63.4214	0.46140000000000003	350	52.844	73.3322
6	1	940	Eschweilera	sagotiana	E sagotiana	NA	3A	39.15211600060629	68.35379999999999	0.4226	332.8	43.286	63.319199999999995
6	1	2801	Eschweilera	collina	E collina	NA	1B	12.095775674984058	104.9306	0.4728	206.4	56.82	70.537
6	1	2809	Eschweilera	sagotiana	E sagotiana	NA	2B	12.73239544735164	77.4364	0.4908	299.2	130.098	86.16120000000001
6	1	2813	Eschweilera	decolorans	E decolorans	NA	1B	11.30000095952458	96.1792	0.469	232.2	84.024	94.72879999999999
6	1	2827	Eschweilera	sagotiana	E sagotiana	NA	2A	10.981691073340789	99.4564	0.38	263	106.05	72.5736
6	1	2908	Symphonia	sp.1	S sp.1	S	1A	11.936620731892162	105.575	0.3276	172.8	24.194399999999998	78.73559999999999
6	1	2924	Symphonia	globulifera	S globulifera	G	1A	11.618310845708372	113.7574	0.314	232.4	62.3086	67.68639999999999
6	1	2933	Symphonia	sp.1	S sp.1	S	1B	12.095775674984058	138.8626	0.3432	141.6	20.5692	64.62780000000001
6	2	240	Symphonia	sp.1	S sp.1	S	3A	27.852115041081714	89.953	0.35660000000000003	267.2	13.943	87.1242
6	2	259	Eschweilera	coriacea	E coriacea	NA	3C	39.78873577297387	123.4732	0.48719999999999997	164	56.776	70.8322
6	2	261	Eschweilera	coriacea	E coriacea	NA	3A	69.39155518806643	123.7524	0.46599999999999997	172.2	35.666000000000004	72.6264
6	2	294	Eschweilera	decolorans	E decolorans	NA	5A	39.31127094369819	65.44460000000001	0.44380000000000003	356.4	104.514	88.264
6	2	361	Eschweilera	decolorans	E decolorans	NA	2C	21.485917317405892	91.8052	0.6772	284	101.42	58.208999999999996
6	2	380	Symphonia	sp.1	S sp.1	S	4A	33.740847935481845	100.609	0.35	155	17.325	103.7226
6	2	415	Eschweilera	decolorans	E decolorans	NA	2A	14.960564650638178	103.0234	0.46299999999999997	215.6	73.718	87.0474
6	2	418	Eschweilera	sagotiana	E sagotiana	NA	5A	50.92958178940656	73.6686	0.4404	326.4	93.856	70.0096
6	2	506	Eschweilera	decolorans	E decolorans	NA	5A	70.6647947328016	79.5308	0.4818	295	30.114	69.809
6	2	563	Eschweilera	sagotiana	E sagotiana	NA	3C	37.71972151277923	79.6724	0.40340000000000004	332.6	76.474	66.554
6	2	676	Eschweilera	sagotiana	E sagotiana	NA	3B	23.554931577600534	56.0494	0.477	357.4	131.14600000000002	110.2894
6	2	682	Eschweilera	decolorans	E decolorans	NA	2A	13.369015219719222	138.3974	0.4572	172.4	78.858	73.6332
6	2	794	Eschweilera	decolorans	E decolorans	NA	2B	20.53098765885452	112.7722	0.4232	218.2	49.678	63.468399999999995
6	2	798	Eschweilera	decolorans	E decolorans	NA	3C	31.194368846011518	129.3472	0.4048	204.2	76.6	70.01859999999999
